source,target
CodeRotterdam,enroctoob
GsSchutter,GerWijnhoven
jackiewp75,johan_emmens
coverklift,Niek1953
HermanOevermans,jeroenschrijft
PietSchuur,Pieter_Kos
w1con,remcodb
PcmPaulien,roosvonk
evert2508,decorrespondent
TinekeHomans,gjvu
Introversum1,roosvonk
LaurensKuijper,timbales
rooshaverman,roosvonk
TheGrey45,bergbrabant
marianterhaar,MarikenLeurs
DeHollanderL,bergbrabant
Jan_Pijnenburg,bergbrabant
Wilcobonekamp,johan_emmens
KwekerijWesthof,johan_emmens
shekiba_K,stadsLAB_Saxion
raymondscheep,johan_emmens
J_Kiers_Lelies,johan_emmens
shekiba_K,TheodeBruijn
GertVeninga,johan_emmens
rboere79,enroctoob
AndreVanDelft,Infocadl2015
lUUk1963,Infocadl2015
JackMarsman,Infocadl2015
fvdscipio,vlietnieuws
IbnalAshraf,Infocadl2015
LittleStanford,NielsWaarlo
marizsmn,Infocadl2015
Percolator_HNJ,Infocadl2015
ipsum_peter,ssalut
installatiecoop,TrouwGroen
Brigitte_Gabel,roosvonk
E__Broekhuizen,roosvonk
aliettejonkers,roosvonk
harrison33601,TrouwGroen
HoitinkJ,johan_emmens
chiene2,LeoNijhuis
e_alzer,030Natuurlijk
MarijnPrakke,RikSeveke
OurLoggerboy,Pieter_Kos
RobinvdBles,enroctoob
stophoutrooknu,LeoNijhuis
ChrisMonastir,ErnstLissauer
Edvdijk,gjvu
petervlelieveld,ErnstLissauer
bolleauk,ErnstLissauer
uri4u,ErnstLissauer
gijsbertsbert,johan_emmens
frankbuijs,enroctoob
fvdstadt,Mopperwezen
Simon_Benjamins,johan_emmens
fvdstadt,temboREP
fvdstadt,siegerdb
hansklaassens,johan_emmens
ouden57,johan_emmens
FrecherJacques,enroctoob
Hans_Gruenfeld,enroctoob
basdobbelstein,enroctoob
fvdstadt,DiffCoa
Remon25P,decorrespondent
RonHerscheit,Jongderik
Ennodewitt,Jongderik
BGAdvise,gjvu
PDuisenberg,enroctoob
willemdejager67,RikSeveke
remcovvd,enroctoob
fritsdekaart,RondjeGoes
buddendorf,Francolinie
Bluesbarn,henknijhof
HansLak,DickElk
geoneer,FBrand2
ajwillems,cmsNetherlands
Edvdijk,gjvu
D66Nuenen,AMSpierings
scharrelwild,johan_emmens
Rolf_Oldejans,decorrespondent
Marleentje71,gjvu
Frans_Bosch,rekenk4mer
Sietske_deJong,decorrespondent
thorbeckestraat,decorrespondent
hemaloart,decorrespondent
C_Hermus,johan_emmens
joshollegien,DuurzaamNieuws
jvanamsterdam,gjvu
milieucentrum,DuurzaamNieuws
GeertRoovers,TheodeBruijn
mirjamboode,AlfonsWispels
GWReichswald,rekenk4mer
PelleboerHenk,johan_emmens
BlitAgro,johan_emmens
arjanpakkert,johan_emmens
Gigawiek,kritischewind
LDamenEvers,FransVerouden
Gigawiek,Frans_Bosch
Eric_Limburg,macharoesink
Benjijduurzaam,Benjijduurzaam
henriette1608,roosvonk
LinkseN8merrie,Nexitmarie
DbergV,HighwaymanNH
sstuart57,GenoegNL
JogaBrouwers,ReporterRadio1
eefdetegenwind,rekenk4mer
Verkiezing_2018,HendrikVuye
NatasjaLuiten,VitaleGroenStad
mariuslkk,JoesvanAsten
AtyBoers,roosvonk
maukstudio,jeroenschrijft
joukjebroier,roosvonk
HermansHoning,roosvonk
FransVerouden,AMSpierings
RudiBeeken,OVLDTieltWinge
HenkEikenbroek,remcodb
darwinvink,jeroenschrijft
TanyaVoorne,FleetwiseNL
wmmckenz,Dot1144
KOffringa,roosvonk
EcoMovehouten,Forenser1
BertineOosthoek,roosvonk
weyerwin,HendrikVuye
Klimaatactie,Vision23
DannyWijnhoud,TrouwGroen
HermanGalle,roosvonk
tweet_t_c,roosvonk
donkeredagen,gjcats
UC_Technologies,jeroenschrijft
Koningsfruit,roosvonk
JosOlivier,wijnandj
JosOlivier,apvermeulen
JosOlivier,WRRDuurzaamheid
JosOlivier,Willem_GP
JosOlivier,timbales
WilcovanderBas,ReporterRadio1
leendertdouma,roosvonk
SikkemaHarry,AlfonsWispels
Jansons19,henri_zuber
RonRonMes,remcodb
MichelHoetmer,roosvonk
ESouverein,jeroenschrijft
MikeGoudemond,AlfonsWispels
ptr_hbrts69,jeroenschrijft
MikeGoudemond,greenportnhn
robvanderrijt,EduardvanB
Klimaatplein,EduardvanB
Klimaatzuster,roosvonk
martinaddvision,KenniswerfZld
JoeriThijs,BeterLeefmilieu
demakersvan010,ReporterRadio1
mauricespecht,ReporterRadio1
drjelledevries,roosvonk
Innogreenvof,NLgreenlabel
op_texel,remcodb
BrendanTexel,remcodb
TomNijsen,BeterLeefmilieu
KassandraTroy,ErnstLissauer
peterverduin,greenportnhn
diedemink,jeroenschrijft
MarcoSteek,remcodb
TopsectorTU,rolandkok
Climate_Express,BeterLeefmilieu
johanna_adt,henri_zuber
Sandervdw,EnecoNieuws
CDADuurzaamDZB,DickElk
Walter07071960,bergbrabant
RegioAlkmaar,greenportnhn
krommenie,DickElk
RuimteOrdening,Benjijduurzaam
GJSchaeffer,energienieuws
adri_houweling,HetKrantje
BasisinkomenA,ADDrenthe
HansGilissen,energienieuws
FrankBorstArt,jeroenschrijft
TegenwindAlblas,rekenk4mer
MennoLudriks,HetKrantje
hgeurts,Ton_Overmeire
Alextim63,henri_zuber
cockyschalk,rekenk4mer
cockyschalk,HetKrantje
Peterbruijns,JanMuijtjens
LStute,EnecoNieuws
KurtvanKasteren,WeegmeesterG
nielshogeweg,FOGOL
NORMABEATRIZEC4,henri_zuber
HellenSluiter,Vision23
MirandaMesman,NLgreenlabel
daschoenmakers,KeesvDaalen
C_U_R_E,jeroenschrijft
SaskiaG_MD,TrouwGroen
3MOOostflakkee,HetKrantje
KLageweg,jeroenschrijft
addyrutgers,jeroenschrijft
3MOOostflakkee,rekenk4mer
MartijnFSnl,rekenk4mer
3MOOostflakkee,Logisticsau
ErikVeltmeijer,rekenk4mer
csbkkr,TrouwGroen
idac1957,henri_zuber
BurenLageWeide,HetKrantje
peterpolder,jeroenschrijft
ockhams,rekenk4mer
bergbrabant,rekenk4mer
hugovandenberg2,Matthijs85
ArabelGroene11,MarikenLeurs
UniperNieuws,remcodb
jeroen1huizinga,rekenk4mer
sstuart57,rekenk4mer
chiene2,frisian1
steen020,ockhams
TopogigioRini,ockhams
Hobbyverslaafde,ockhams
Matthijs85,Matthijs85
PP_amsterdam,Matthijs85
PiratenNH,Matthijs85
