Id,tweets
gjvu,36
Climate_Cop,29
Klimaatplein,26
BarbarugoRuud,23
timbales,22
GsSchutter,20
HvMZON,19
DDNieuws,16
Edvdijk,14
cmsNetherlands,13
Energie_Eneco,13
AngeliqueWinder,12
eMBe_Zon,12
enroctoob,12
Klimaatzuster,12
CMSchoolenberg,11
rekenk4mer,11
mistraller,11
JosOlivier,11
Scapeler,10
sering80,10
FluxEnergie,10
AlfonsWispels,10
GeertPVVWilders,10
arjanvdhoogen,10
HenkDaalder,9
O_316,9
Climate_Express,9
VitaleGroenStad,9
0209Bot,9
Frans_Bosch,8
hemaloart,8
EnergyParkZwan,8
ockhams,8
Krapuul,8
Beautiful_Cups,8
fschuurk,8
Johnerous,8
bergbrabant,8
WattisDuurzaam,8
Judo_Bakker,8
rolfschipper,7
LarsMoratis,7
chiene2,7
sstuart57,7
3xdbe,7
watkopenwij,7
robvanderrijt,7
marjanminnesma,7
urgenda,7
steltenpower,7
Eric_Limburg,7
bleekerk,6
LetsWebShop,6
Gigawiek,6
TomNijsen,6
DSteenhorst,6
NWEAWind,6
pboucneau,6
heerlijkheiddeh,6
tegenwindvoorst,6
RemcoWagemakers,5
w1con,5
CO2Adviseurs,5
TSmaragdina,5
HSchouffoer,5
frisian1,5
henknieboer,5
WRRDuurzaamheid,5
jeroen1huizinga,5
ApusNL,5
roosvonk,5
janinecooijmans,5
RuudvanTendris,5
VVMBureau,5
fvdstadt,5
3MOOostflakkee,5
GrootOostTV,5
MrsGreenseat,5
peterpolder,5
de_rixt,5
KeesvDaalen,5
DuurzaamBV,5
paulinewes,5
GKooger,5
Vision23,5
TrouwGroen,4
DuurzameD,4
DickKraaij,4
BeautifulNieuws,4
kritischewind,4
StopSteenkool,4
m_wiersma,4
denieuwsjager,4
nrgtransition,4
_Zero_e_,4
BGAdvise,4
Matthijs85,4
milieucentrum,4
KOffringa,4
heksenhut,4
lutgroenez,4
doemeeco,4
macharoesink,4
dunderklumpken,4
apvermeulen,4
PeHaring,4
losamigos043,4
Ennodewitt,4
rboere79,4
TBoccasions,4
bartcrezee,4
GroeneZaken,4
CarelvanSanten,4
MrvanDalenNL,4
ClimateNeutralG,4
VlakglasRecycle,4
Belanda,4
AnthonySc6,4
MMENR_nl,4
GerardBrummerII,4
BoswachterRob,4
_Economie,4
Janlambr,4
stophoutrooknu,4
RayLaenens,4
weyerwin,4
NVerdaasdonk,4
krispijnbeek,4
wallie011067,4
keeskodde_GP,4
dvlankeren,4
sycrett,3
Benjijduurzaam,3
KarineMoykens,3
Rolf_Oldejans,3
ADDenHaag,3
D66nuvooruit,3
erikdw001,3
aireasnl,3
cockyschalk,3
focusonamerica,3
RobertMolhoek,3
JanMuijtjens,3
djventilator,3
C_Hermus,3
DutchNewspapers,3
EcoMovehouten,3
CO2voetafdruk,3
Reeshofwarmte,3
energienieuws,3
skytreeco2,3
MennoLudriks,3
Jeeningaautos,3
infoweer,3
StraverFrank,3
