,index,tweet_id,original_tweet_id,original_tweet_user,date_time,user_id,username,followers,friends,user_description,statuses,text,nr_likes,users_likes,nr_RT,entities,nr_responses,users_responses
0,0,820668397730009089,820597605172445184,enroctoob,2017-01-15 16:26:07,227655742,CodeRotterdam,625,397,#rotterdam #communicatie #kunst&cultuur @portofrotterdam #sportiefmaarnietatletisch #peettante #twittert op persoonlijke titel,4644,RT @enroctoob: #Buitenhof Rutte inzet op één klimaatdoel CO2 en geen 'getreiter' met andere doelen. Milieubeleid is innovatie: wind op zee…,0,[],1,"{'symbols': [], 'hashtags': [{'indices': [15, 25], 'text': 'Buitenhof'}], 'user_mentions': [{'id_str': '191061740', 'screen_name': 'enroctoob', 'id': 191061740, 'name': 'Corné Boot', 'indices': [3, 13]}], 'urls': []}",,
1,2,820667001429434368,,,2017-01-15 16:20:35,2366247835,Mopperwezen,857,865,RZ8e | Alles van waarde is tweetloos | Solipsists of all countries unite! | The Great Curmudgeon.,55022,Hè Martin Windmolen Sommer over post-truth. https://t.co/clyjHNAOaW,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/clyjHNAOaW', 'expanded_url': 'http://www.volkskrant.nl/opinie/alle-volkskrantcolumnisten-geven-hun-blik-op-2017-volg-het-hier-live~a4447884/?utm_source=twitter&utm_medium=social&utm_campaign=shared%20content&utm_content=free', 'indices': [44, 67], 'display_url': 'volkskrant.nl/opinie/alle-vo…'}]}",,
2,3,820666316323483648,820352588449271809,GerWijnhoven,2017-01-15 16:17:51,1457304996,GsSchutter,369,355,"Natuurliefhebber, jager en beheerder, hobbykok, en recht voor zijn raap , wat niet altijd gewaardeerd wordt, maar wel eerlijk.",18775,RT @GerWijnhoven: @lientje1967 En allemaal die volvo's hoeveel fijnstof en CO2 produceren die. Is geen goede vergelijking maar toch......bo…,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '395310286', 'screen_name': 'GerWijnhoven', 'id': 395310286, 'name': 'Ger Wijnhoven', 'indices': [3, 16]}, {'id_str': '118084079', 'screen_name': 'lientje1967', 'id': 118084079, 'name': 'Caroline vander Plas', 'indices': [18, 30]}], 'urls': []}",,
3,4,820665965566365696,820571317825114112,johan_emmens,2017-01-15 16:16:28,1685604374,jackiewp75,198,685,"melkveehoudster, moeder,echtgenote, houd van koken en eten:) Yoga, wandelen, SVN69(voetbal) the Big Stones(rugby).",2514,RT @johan_emmens: Welke sector doet ons dit na? Ook de CO2 uitstoot normen voor de landbouw voor 2020 zijn in 2015 al gehaald en dalen nog…,0,[],16,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '2755629941', 'screen_name': 'johan_emmens', 'id': 2755629941, 'name': 'Johan Emmens', 'indices': [3, 16]}], 'urls': []}",,
4,5,820665562065866755,,,2017-01-15 16:14:51,364485361,RemcoNeumann,124,172,"Port of Rotterdam | Economics, CSR & Sustainability | Respect for volunteers | Tennis & many other sports | Good food | Proud father",289,Stadswarmte in Rotterdam bespaart jaarlijks tot 70% CO2 uitstoot https://t.co/BgBTwwUWfR,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BgBTwwUWfR', 'expanded_url': 'https://lnkd.in/gEVS-VE', 'indices': [65, 88], 'display_url': 'lnkd.in/gEVS-VE'}]}",,
5,6,820665452242288641,820626315913154560,Niek1953,2017-01-15 16:14:25,2181964402,coverklift,74,106,M,1602,RT @Niek1953: Speciaal voor de klimaat gekkies ;-) https://t.co/uLgII9OKhK,0,[],1,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '264241703', 'screen_name': 'Niek1953', 'id': 264241703, 'name': 'Niek N', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/uLgII9OKhK', 'expanded_url': 'https://twitter.com/Container1948/status/818942887714918400', 'indices': [51, 74], 'display_url': 'twitter.com/Container1948/…'}]}",,
6,7,820663799518785537,,,2017-01-15 16:07:51,2307261073,de_rixt,155,98,Agrarisch bedrijf|Liefhebber natuur|platteland|vergezichten|teveel om op te noemen|Inwonende Windpark Wieringermeer oa ECN testpark|Aversie tegen windturbines,3638,België heeft nog minder CO2 uitstoot per geproduceerd kWh dan Nederland. Vanwege nucleair. https://t.co/DSeMsmTQOy,0,[],0,"{'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DSeMsmTQOy', 'expanded_url': 'https://twitter.com/HLN_BE/status/805832256149299200', 'indices': [91, 114], 'display_url': 'twitter.com/HLN_BE/status/…'}]}",,
7,8,820663519167348736,819662240156618752,jeroenschrijft,2017-01-15 16:06:44,195777985,HermanOevermans,508,262,"Echtgenoot, vader van 4 meiden, directeur Academie Mens&Organisatie CHE, en redacteur Wapenveld (interviews, levensfilosofie en religie), Bennekom",5845,RT @jeroenschrijft: Feit 1: vliegen kost 5 miljoen vaten olie per dag. 2: Impact op klimaat is enorm. 3. Aantal vluchten blijft toenemen ht…,0,[],147,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '29712419', 'screen_name': 'jeroenschrijft', 'id': 29712419, 'name': 'Jeroen Trommelen', 'indices': [3, 18]}], 'urls': []}",,
8,9,820663408815181824,820607512361758720,Pieter_Kos,2017-01-15 16:06:18,435701748,PietSchuur,105,192,,2531,"RT @Pieter_Kos: En dan maakt het niet uit of die zorgen gaan over klimaat, vluchtelingen, veiligheid of internationale stabiliteit. No answ…",0,[],2,"{'symbols': [], 'hashtags': [], 'user_mentions': [{'id_str': '22638231', 'screen_name': 'Pieter_Kos', 'id': 22638231, 'name': 'Pieter Kos', 'indices': [3, 14]}], 'urls': []}",,
9,11,820661949931356161,,,2017-01-15 16:00:30,113731511,mistraller,138,96,Solar Energy | Gadgets |  ICT | Outdoor activities | Geocaching | SNS Bank | Nienke & Bart,6357,"Opgewekte zonne-energie vandaag: 0,44 kWh -  0,20 kg CO2 vermeden ~ #SolGet Soladin monitoring https://t.co/rp4IAtlokS",0,[],0,"{'symbols': [], 'hashtags': [{'indices': [68, 75], 'text': 'SolGet'}], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rp4IAtlokS', 'expanded_url': 'http://bit.ly/solget', 'indices': [95, 118], 'display_url': 'bit.ly/solget'}]}",,
